P30613
Q9UKP6
Q92994
Q9NQ79
O60224
Q9HCX3
Q9H222
P27361
P25205
P23919
Q8NHX9
Q9NXR8
Q9BX84
Q9C0H2
Q9C0H5
P57764
Q9C0H6
Q9C0H9
Q75N12
Q07960
Q9NXR5
Q9NXR7
Q96J66
Q96J65
Q5H9L2
P10163
P40424
P40425
P40426
Q8NA82
Q9NU39
Q9H8X9
Q9H2I8
P61020
O95198
P68104
Q9UKX7
P02768
P05386
P05387
P02760
P02763
P46109
P02765
P02766
Q9UBZ9
Q8NCM8
Q8N3A8
P02489
Q07444
P41587
O94855
P30685
O94911
Q9NY15
O00299
P39023
O43399
Q96CH1
B3KXU9
Q9P218
P04440
Q9P215
Q9P217
Q9P212
Q8NEM0
Q9H3M9
P02741
Q9H3M0
Q5VYP0
O60603
Q9UKT9
Q13422
P10275
Q9BZG9
Q9BZG8
P07101
P01236
P01233
Q92599
Q8N865
Q9UMD9
O60602
Q6NX49
P09001
P53708
P04035
P24928
P53701
P08620
P07900
Q9H967
Q8N895
Q14563
Q14562
Q03933
Q14566
Q14565
Q04206
Q9NRH1
Q9NRH2
Q9NRH3
P51787
Q86VP6
Q6ZMG9
Q86VY4
Q92526
Q86VY2
Q92520
Q9Y259
Q92522
Q86VY9
Q9NYT6
Q02878
Q96HA4
Q96HA7
Q96HA1
Q0P663
Q96HA9
Q96HA8
P53804
Q13304
Q03431
Q9HCE5
P78381
Q9UKD1
P78382
P19075
Q9H8T0
P43630
Q9Y394
O95425
Q15762
P05408
Q15760
Q15761
Q9Y5Z4
Q6UW02
Q6UW01
Q9Y275
P11086
Q9BWT3
Q15768
O95528
Q8WUF8
P30456
Q9P1U1
Q96BT3
O95522
P20039
O95521
P48681
Q02297
P42331
Q92618
Q9HCE7
Q99519
Q99518
Q4VC31
Q9Y5K2
Q9NVP1
Q96RU2
Q8TEW8
Q92844
Q96RU8
Q96SN8
O95125
Q13115
Q9Y5A6
P20396
Q3ZTS7
Q13643
Q13642
Q13641
Q9Y5A9
Q9NS40
P04216
A6NK53
Q02127
Q7Z3T1
Q96CN9
Q00887
Q8N556
Q6ZRV2
P24557
Q96CN7
Q5TH69
Q96CN5
Q05513
P67812
P10644
O95067
Q9UHI5
P48551
Q96AB6
O14579
Q13887
Q96GE6
Q5T6X4
Q5T6X5
Q14CS0
P12036
Q07864
P40429
P0C0L5
Q92911
Q03989
O75436
Q9BR01
P16520
Q8NCJ5
Q9NZK5
Q9NZN4
Q9Y294
Q9Y295
Q9BR09
Q6ICB4
Q9BXI9
Q6ICB0
Q9H4I8
O60721
Q5JTN6
Q17R31
Q9Y262
Q712K3
Q9Y4K1
Q99758
Q13574
P08842
Q5T7V8
P04629
Q5K4L6
Q5TYW2
Q5BKX6
Q96I99
O75420
O75425
P06753
O75427
O75426
Q5VU57
Q8WZ55
Q5VUB5
Q03426
Q8NBH2
P23142
P20138
Q5T2T1
Q14330
O00505
O00501
Q9NPH3
Q8N9C0
P53396
P13500
Q01581
Q8NHW5
P19404
Q8IYD1
O75398
Q6IPW1
Q9BQ52
Q8IYD9
Q8IYD8
O75396
O75394
Q96N58
Q9NVX0
Q8IVD9
O75376
Q8N328
Q5NDL2
Q8N326
Q3MIS6
Q6UXG8
P15848
Q8N323
Q9H322
Q66K89
Q66K80
Q9BSD7
O94762
P49448
Q53S92
O00757
Q01094
O15226
P62633
Q9UI09
Q4VXK3
Q9UDW1
Q3V6T2
Q9Y233
P24903
O00470
Q9HCQ5
A2RUS2
O14894
Q9UPY3
Q8N4S7
Q6NTF7
Q14002
Q9UHH9
Q14004
Q14005
P01112
Q9H3P7
Q5VVM6
Q9Y4K0
A5PLK6
Q9H3P2
Q9HAB8
Q9BUV8
O95342
Q9NUT2
Q9BUV0
P46777
Q9BS18
P62826
Q15654
Q92530
P49407
P49406
Q9UKM9
Q9NUR3
Q8IZJ3
Q8IZJ0
Q8IZJ1
Q8IZJ4
Q6ZST4
P13646
P56937
O14791
Q8IXM2
P33076
P14625
Q7Z406
Q8IVJ1
Q00975
Q30154
Q8TDD2
Q00973
Q00978
Q7Z713
P40305
P22888
Q29983
Q13002
Q9NYL4
A8K9T9
O14646
Q8TEX9
P08397
O00453
Q6TDP4
Q8N5Y2
Q8WWG1
Q3KNT7
P51168
Q8IWY4
Q9NV23
Q96C11
Q9P219
Q96RJ0
Q8IWW6
Q9NV29
Q14524
Q8N0X2
P78536
Q9NQC3
O14746
Q9UQ26
P16455
Q15661
Q86UA6
Q86UA1
Q9HB07
Q6UXY7
P28370
Q14155
Q7RTU3
Q7RTU1
Q7RTU7
Q96CU9
P02792
Q5K4E3
Q96CU4
Q4ADV7
P0C7I6
Q969I3
Q969I6
P39019
O43913
O43914
Q9Y6G9
O43918
Q9Y6G5
Q9ULH7
Q9Y388
Q9Y6G1
P55735
P24539
Q9UKX5
Q5HYW2
Q9Y237
Q9UKX3
O75845
Q07889
Q6PHW0
P22079
Q86TE4
P45984
P01909
Q14678
P45985
Q6ZUF6
Q9Y6K1
P11532
Q9BZG1
Q9BZG2
P45983
Q96HD9
P02042
Q9HB58
Q6ZN30
Q9NUB1
Q7Z5G4
Q14653
Q96JJ3
Q14168
Q6IS24
P08195
Q9UKX2
P23378
Q8TDM5
Q96L50
Q8WUA2
P10966
P27469
O60476
Q02325
P42771
Q9UNW1
Q9NQL9
P06239
Q5W0Z9
P05112
P37231
Q9UEF7
Q9H239
O75914
Q5TBC7
Q8NEQ6
P09874
Q2NKQ1
Q9NX24
P27169
Q9NR56
Q92615
P20151
A2VEC9
P06870
Q6VVB1
Q9UGP5
Q9UNH5
O14598
Q01650
P26196
Q9NQ66
P41091
P51649
P16442
Q9UJT9
Q9UJT1
Q9UJT0
Q9UJT2
P13761
Q14162
Q6TCH4
P56817
P02818
Q6NX45
Q92581
Q5VVW7
Q9H6L4
Q9H6L5
Q9H6L2
Q9Y272
Q12796
Q9HC44
Q96M96
Q13439
O94864
Q9NSA0
Q8NBX0
P46976
Q8N5Y8
Q969R8
Q92932
Q9BT92
Q9UG56
Q68DA1
Q5T215
Q99674
Q9ULJ6
Q9H091
Q86YV0
Q9NZM5
P61964
O60830
O60831
O60832
Q9NRI5
P35052
P04920
Q05193
