"P29459"
"P01920"
"O95256"
"Q9HBE4"
"Q13478"
"Q01638"
"Q08116"
"Q04864"
"P01909"
"P16410"
"Q9Y6W8"
"P60568"
"P32246"
"P51677"
"Q2LD37"
"Q9UQQ2"
