"P20039"
"P40879"
"P09622"
"P12318"
"P08571"
"P01903"
"Q9NZK7"
"Q8TAU0"
"Q9NPH9"
"P07942"
"O00206"
"Q14116"
"P22301"
"P20809"
"P08183"
"Q9H257"
"P26927"
"P01375"
"Q5VWK5"
"P14174"
"P01579"
"Q9NXI6"
"Q9UIR0"
"Q0VDK5"
