"P20039"
"P17706"
"P08571"
"P35408"
"P54652"
"Q8TAU0"
"Q14116"
"Q9H015"
"O76082"
"P08183"
"P19438"
"P00738"
"P26927"
"P01375"
"Q5VWK5"
"P14174"
"Q676U5"
